,osrm_distance,osrm_duration
0,19781.3,1626.5
1,2718.3,340.0
2,15257.3,1162.9
3,2050.5,237.7
4,2238.5,347.9
5,1083.7,139.1
6,3900.5,407.6
7,5724.5,646.2
8,348.1,67.6
9,2816.4,319.1
10,3119.4,308.2
11,1155.6,132.8
13,1614.9,247.7
14,4626.2,550.8
15,4629.6,425.3
16,3146.3,349.3
18,4899.5,587.9
19,1772.0,166.0
21,1949.8,233.6
22,951.6,89.9
23,1302.9,197.8
24,3341.7,387.4
25,3443.5,286.9
26,6149.6,661.3
27,3757.1,480.5
28,1691.9,286.0
30,2109.0,277.0
31,6372.4,633.1
32,1314.1,177.5
33,2274.8,285.0
34,6130.5,532.9
35,597.8,83.1
37,1264.7,128.5
38,2655.6,364.6
39,2284.9,337.8
40,4587.0,605.9
41,6779.1,588.0
42,4612.1,628.4
43,4296.7,503.4
44,5054.3,620.2
45,1310.0,123.4
46,1809.0,244.8
47,6352.0,625.1
49,996.8,141.8
50,22274.9,1415.9
51,22996.2,1342.7
52,6867.9,782.2
53,4179.6,444.7
54,2305.9,241.5
55,786.6,129.7
56,2075.6,291.8
57,1260.4,163.1
58,4051.9,469.4
59,2239.7,266.8
60,2866.6,269.6
61,1914.0,203.7
62,1883.4,165.3
63,3152.0,306.8
64,1060.2,136.8
65,3653.5,486.1
66,1332.4,152.7
67,4562.1,631.6
68,2437.9,350.9
69,2433.6,305.0
70,3047.9,352.8
71,2401.6,271.9
72,3317.6,456.9
73,1107.7,153.4
74,2764.7,322.0
75,2019.8,216.0
76,6236.2,759.7
77,1249.1,177.5
78,1201.4,117.3
79,21003.5,1395.1
80,4419.3,476.3
81,6243.0,584.9
82,1896.1,215.1
83,3442.9,322.3
84,6487.7,715.2
86,3950.5,445.2
87,5065.3,590.0
88,754.2,125.1
89,4443.7,541.6
90,724.9,105.8
91,19964.4,1193.8
92,2494.3,255.7
93,22763.2,1368.8
94,3996.4,458.2
95,11244.2,838.1
96,16023.3,911.6
97,2927.5,380.5
98,14462.0,1206.5
99,3348.5,463.0
100,13220.4,1077.2
101,1308.0,170.0
102,3655.8,537.9
103,1568.3,180.4
104,1486.6,178.6
105,3213.3,361.1
106,3358.1,453.0
107,3255.4,455.9
108,3900.1,379.8
109,8191.1,734.0
110,3563.8,483.7
111,3168.1,396.6
112,2344.3,315.3
113,1691.7,236.9
114,1328.0,121.5
115,1515.0,207.5
116,2537.5,265.8
118,3260.2,386.7
119,5124.1,626.1
120,17381.6,1491.5
121,4343.8,475.6
122,2537.4,350.1
123,3171.4,420.9
124,2325.2,325.4
125,8110.0,891.0
126,2292.2,257.2
127,2601.1,326.9
128,2649.6,351.0
129,24855.4,1459.8
130,1423.8,186.9
131,1671.5,226.3
132,1822.6,162.8
133,1769.8,190.2
134,5068.3,532.4
135,1763.5,228.0
136,3777.7,453.7
137,1692.2,216.4
138,7939.3,476.9
139,4702.9,454.5
140,3147.9,301.1
141,6289.5,626.6
142,1489.0,216.2
143,2598.8,371.1
144,1172.4,135.3
145,5700.5,566.1
146,13120.1,1120.0
147,2482.9,325.7
148,1944.9,233.0
149,3372.5,423.5
150,515.5,69.7
151,1780.6,234.5
152,1570.1,206.9
153,5542.0,709.1
154,27292.2,1705.7
155,3894.0,354.6
156,11098.5,636.4
157,4165.6,399.2
158,1219.4,182.2
159,8637.4,881.0
160,5130.0,647.1
161,1578.5,216.4
162,3909.4,378.6
163,1475.0,173.0
164,2672.0,316.7
165,3489.5,388.2
166,3686.1,439.0
167,1968.8,260.1
168,991.7,147.4
169,1659.0,223.1
170,2648.0,340.5
171,4078.2,489.7
172,1953.4,308.0
173,2742.9,332.4
174,4249.1,432.0
175,4523.0,536.3
176,5105.0,506.7
177,5707.9,586.4
178,2063.2,254.0
179,1554.6,195.0
180,1385.0,193.3
181,23168.1,1569.1
182,3403.4,350.5
183,29185.0,1967.7
184,1192.0,145.2
185,802.2,62.5
186,1748.0,245.7
187,2992.6,420.3
188,2424.3,281.3
189,26621.7,1596.5
190,2222.3,241.4
191,1735.1,235.8
192,2540.7,303.5
193,6000.4,590.6
194,1352.7,166.1
195,1847.9,208.0
196,3311.5,358.0
197,2739.6,313.8
199,2637.3,353.8
200,1584.4,260.3
201,1659.8,231.9
202,1893.1,233.7
203,3331.7,463.0
204,1757.8,157.0
205,2654.9,319.9
206,5204.0,583.0
207,2394.7,317.9
208,10040.5,961.0
209,4022.5,399.8
210,2421.0,273.1
211,1567.7,162.5
212,3120.9,394.6
213,4874.1,538.5
214,1652.3,186.4
215,3152.0,327.7
216,2721.6,290.8
218,29769.7,2119.0
219,1151.0,158.9
220,4347.3,467.2
221,3288.7,443.5
222,315.4,49.9
223,3855.4,432.8
224,1838.6,221.0
225,908.0,119.7
226,2777.7,316.6
227,10288.3,1125.7
228,1588.8,241.8
229,3161.3,364.6
230,8664.0,650.3
231,1788.5,231.1
232,3269.6,339.2
233,8276.0,802.4
234,2585.3,350.9
